a;b;c
15;-81;-95
30;-23;-58
47;100;-77
66;42;73
-23;-91;29
-92;35;32
59;-47;21
-44;-96;-11
97;50;99
-4;-32;63
-2;-93;-28
-58;56;-35
-44;41;-13
-22;69;-6
46;-73;-95
-41;-45;-93
44;-8;32
21;35;8
-45;-29;39
75;-52;13
32;23;39
73;-56;99
-6;41;47
28;-83;-58
77;-99;-82
-30;64;-53
-15;-57;-68
70;22;-50
94;82;-88
-84;-73;6
10;-3;11
69;1;53
62;-85;-40
-80;-69;61
-94;26;3
-81;87;-45
2;12;77
-30;63;34
3;58;56
1;-94;75
-74;64;-35
42;95;52
-65;73;-63
89;-82;71
-83;64;-43
-51;-90;-89
-26;-57;58
-99;12;-90
61;-59;-49
-94;-63;-96
